Time,numTrans
8/29/12 0:00,33804
8/31/12 0:00,41495
9/2/12 0:00,31268
9/4/12 0:00,36940
9/6/12 0:00,44218
9/8/12 0:00,34359
9/10/12 0:00,32055
9/12/12 0:00,30406
9/14/12 0:00,35146
9/16/12 0:00,27351
9/18/12 0:00,31313
9/20/12 0:00,33825
9/22/12 0:00,23847
9/24/12 0:00,31279
9/26/12 0:00,31886
9/28/12 0:00,29898
9/30/12 0:00,21143
10/2/12 0:00,28543
10/4/12 0:00,29518
10/6/12 0:00,35662
10/8/12 0:00,38366
10/10/12 0:00,32255
10/12/12 0:00,24200
10/14/12 0:00,26981
10/16/12 0:00,33464
10/18/12 0:00,28432
10/20/12 0:00,27673
10/22/12 0:00,35647
10/24/12 0:00,33568
10/26/12 0:00,22540
10/28/12 0:00,17381
10/30/12 0:00,29930
11/1/12 0:00,25458
11/3/12 0:00,25264
11/5/12 0:00,32202
11/7/12 0:00,37442
11/9/12 0:00,26851
11/11/12 0:00,23728
11/13/12 0:00,24841
11/15/12 0:00,37743
11/17/12 0:00,34273
11/19/12 0:00,35160
11/21/12 0:00,41245
11/23/12 0:00,31482
11/25/12 0:00,34821
11/27/12 0:00,29528
11/29/12 0:00,39050
12/1/12 0:00,37722
12/3/12 0:00,22407
12/5/12 0:00,33176
12/7/12 0:00,32887
12/9/12 0:00,32838
12/11/12 0:00,36341
12/13/12 0:00,40260
12/15/12 0:00,33526
12/17/12 0:00,40828
12/19/12 0:00,49016
12/21/12 0:00,40658
12/23/12 0:00,39228
12/25/12 0:00,27560
12/27/12 0:00,43119
12/29/12 0:00,39248
12/31/12 0:00,34228
1/2/13 0:00,38986
1/4/13 0:00,49926
1/6/13 0:00,34519
1/8/13 0:00,35390
1/10/13 0:00,51393
1/12/13 0:00,46836
1/14/13 0:00,43799
1/16/13 0:00,52197
1/18/13 0:00,50896
1/20/13 0:00,41636
1/22/13 0:00,40199
1/24/13 0:00,46607
1/26/13 0:00,53420
1/28/13 0:00,52321
1/30/13 0:00,45810
2/1/13 0:00,56756
2/3/13 0:00,56212
2/5/13 0:00,53445
2/7/13 0:00,58215
2/9/13 0:00,50847
2/11/13 0:00,58835
2/13/13 0:00,57398
2/15/13 0:00,57505
2/17/13 0:00,50400
2/19/13 0:00,55598
2/21/13 0:00,58996
2/23/13 0:00,59386
2/25/13 0:00,65164
2/27/13 0:00,62952
3/1/13 0:00,65797
3/3/13 0:00,49631
3/5/13 0:00,56039
3/7/13 0:00,62423
3/9/13 0:00,47671
3/11/13 0:00,67610
3/13/13 0:00,56177
3/15/13 0:00,60064
3/17/13 0:00,34164
3/19/13 0:00,48705
